,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2020, 12:00:00 AM",,,1,,2.9,
"7/1/2020, 1:00:00 AM",,,1,,2.8,
"7/1/2020, 2:00:00 AM",,,1,,2.6,
"7/1/2020, 3:00:00 AM",,,2,,2.6,
"7/1/2020, 4:00:00 AM",,,1,,2.6,
"7/1/2020, 5:00:00 AM",,,4,,2.5,
"7/1/2020, 6:00:00 AM",,,3,,2.4,
"7/1/2020, 7:00:00 AM",,,0,,2.3,
"7/1/2020, 8:00:00 AM",,,0,,2.3,
"7/1/2020, 9:00:00 AM",,,-1,,2.5,
"7/1/2020, 10:00:00 AM",,,,,3,
"7/1/2020, 11:00:00 AM",,,1,,3.2,
"7/1/2020, 12:00:00 PM",,,0,,3,
"7/1/2020, 1:00:00 PM",,,1,,3,
"7/1/2020, 2:00:00 PM",,,0,,3.1,
"7/1/2020, 3:00:00 PM",,,-2,,3.4,
"7/1/2020, 4:00:00 PM",,,-1,,3.7,
"7/1/2020, 5:00:00 PM",,,3,,3.2,
"7/1/2020, 6:00:00 PM",,,4,,3.1,
"7/1/2020, 7:00:00 PM",,,3,,3.1,
"7/1/2020, 8:00:00 PM",,,3,,4,
"7/1/2020, 9:00:00 PM",,,1,,4.8,
"7/1/2020, 10:00:00 PM",,,-1,,5,
"7/1/2020, 11:00:00 PM",,,2,,4.8,
"7/2/2020, 12:00:00 AM",,,3,,4.7,
"7/2/2020, 1:00:00 AM",,,2,,4.5,
"7/2/2020, 2:00:00 AM",,,2,,4.5,
"7/2/2020, 3:00:00 AM",,,6,,4.5,
"7/2/2020, 4:00:00 AM",,,5,,4.6,
"7/2/2020, 5:00:00 AM",,,6,,4.3,
"7/2/2020, 6:00:00 AM",,,7,,4.7,
"7/2/2020, 7:00:00 AM",,,6,,4.8,
"7/2/2020, 8:00:00 AM",,,7,,4.9,
"7/2/2020, 9:00:00 AM",,,26,,5.2,
"7/2/2020, 10:00:00 AM",,,12,,4.9,
"7/2/2020, 11:00:00 AM",,,9,,4.8,
"7/2/2020, 12:00:00 PM",,,7,,4.6,
"7/2/2020, 1:00:00 PM",,,6,,4.6,
"7/2/2020, 2:00:00 PM",,,4,,4.4,
"7/2/2020, 3:00:00 PM",,,3,,4.3,
"7/2/2020, 4:00:00 PM",,,5,,4.1,
"7/2/2020, 5:00:00 PM",,,5,,3.6,
"7/2/2020, 6:00:00 PM",,,6,,2.8,
"7/2/2020, 7:00:00 PM",,,5,,2.4,
"7/2/2020, 8:00:00 PM",,,8,,2.3,
"7/2/2020, 9:00:00 PM",,,7,,2.7,
"7/2/2020, 10:00:00 PM",,,4,,3.1,
"7/2/2020, 11:00:00 PM",,,5,,2.5,
"7/3/2020, 12:00:00 AM",,,5,,2.1,
"7/3/2020, 1:00:00 AM",,,5,,2.5,
"7/3/2020, 2:00:00 AM",,,5,,2.6,
"7/3/2020, 3:00:00 AM",,,2,,2.3,
"7/3/2020, 4:00:00 AM",,,2,,2.4,
"7/3/2020, 5:00:00 AM",,,4,,2.4,
"7/3/2020, 6:00:00 AM",,,4,,2.6,
"7/3/2020, 7:00:00 AM",,,3,,2.3,
"7/3/2020, 8:00:00 AM",,,0,,2.6,
