,Tacoma-S 36th St,Mt Rainier-Jackson Visitors Ctr,Tacoma-L Street,Tacoma-S Adams St,Neah Bay 2-Makah Tribe,
Date/Time,PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],PM2.5 [ug/m^3],
"7/1/2021, 12:00:00 AM",,,3,,4.6,
"7/1/2021, 1:00:00 AM",,,3,,4.6,
"7/1/2021, 2:00:00 AM",,,3,,5,
"7/1/2021, 3:00:00 AM",,,1,,4.3,
"7/1/2021, 4:00:00 AM",,,1,,4.5,
"7/1/2021, 5:00:00 AM",,,3,,5.8,
"7/1/2021, 6:00:00 AM",,,3,,6.1,
"7/1/2021, 7:00:00 AM",,,2,,6.1,
"7/1/2021, 8:00:00 AM",,,1,,5.5,
"7/1/2021, 9:00:00 AM",,,2,,5.8,
"7/1/2021, 10:00:00 AM",,,2,,6.2,
"7/1/2021, 11:00:00 AM",,,0,,5.7,
"7/1/2021, 12:00:00 PM",,,3,,4.6,
"7/1/2021, 1:00:00 PM",,,4,,5.1,
"7/1/2021, 2:00:00 PM",,,2,,4.9,
"7/1/2021, 3:00:00 PM",,,3,,4.6,
"7/1/2021, 4:00:00 PM",,,6,,6.1,
"7/1/2021, 5:00:00 PM",,,6,,6.4,
"7/1/2021, 6:00:00 PM",,,7,,6.2,
"7/1/2021, 7:00:00 PM",,,8,,5.3,
"7/1/2021, 8:00:00 PM",,,6,,5.6,
"7/1/2021, 9:00:00 PM",,,5,,5.4,
"7/1/2021, 10:00:00 PM",,,4,,4.9,
"7/1/2021, 11:00:00 PM",,,3,,4.6,
"7/2/2021, 12:00:00 AM",,,4,,4.2,
"7/2/2021, 1:00:00 AM",,,6,,3.9,
"7/2/2021, 2:00:00 AM",,,5,,4,
"7/2/2021, 3:00:00 AM",,,1,,3.7,
"7/2/2021, 4:00:00 AM",,,5,,3.6,
"7/2/2021, 5:00:00 AM",,,4,,3.4,
"7/2/2021, 6:00:00 AM",,,0,,4.4,
"7/2/2021, 7:00:00 AM",,,2,,4.7,
"7/2/2021, 8:00:00 AM",,,6,,4.8,
"7/2/2021, 9:00:00 AM",,,6,,4.9,
"7/2/2021, 10:00:00 AM",,,4,,5.6,
"7/2/2021, 11:00:00 AM",,,3,,6.2,
"7/2/2021, 12:00:00 PM",,,5,,6.2,
"7/2/2021, 1:00:00 PM",,,8,,6.6,
"7/2/2021, 2:00:00 PM",,,7,,5.9,
"7/2/2021, 3:00:00 PM",,,6,,5.5,
"7/2/2021, 4:00:00 PM",,,9,,5.7,
"7/2/2021, 5:00:00 PM",,,7,,5.7,
"7/2/2021, 6:00:00 PM",,,10,,5.6,
"7/2/2021, 7:00:00 PM",,,10,,5.6,
"7/2/2021, 8:00:00 PM",,,11,,5.4,
"7/2/2021, 9:00:00 PM",,,9,,5.6,
"7/2/2021, 10:00:00 PM",,,8,,5.5,
"7/2/2021, 11:00:00 PM",,,6,,5.1,
"7/3/2021, 12:00:00 AM",,,7,,5.1,
"7/3/2021, 1:00:00 AM",,,8,,4.7,
"7/3/2021, 2:00:00 AM",,,8,,4.3,
"7/3/2021, 3:00:00 AM",,,11,,4.1,
"7/3/2021, 4:00:00 AM",,,7,,3.6,
"7/3/2021, 5:00:00 AM",,,4,,3.8,
"7/3/2021, 6:00:00 AM",,,5,,4.1,
"7/3/2021, 7:00:00 AM",,,4,,4,
"7/3/2021, 8:00:00 AM",,,11,,3.9,
"7/3/2021, 9:00:00 AM",,,8,,4.8,
"7/3/2021, 10:00:00 AM",,,7,,5.7,
"7/3/2021, 11:00:00 AM",,,8,,5.8,
"7/3/2021, 12:00:00 PM",,,9,,5.2,
"7/3/2021, 1:00:00 PM",,,6,,5.5,
"7/3/2021, 2:00:00 PM",,,6,,5.9,
"7/3/2021, 3:00:00 PM",,,6,,5.7,
"7/3/2021, 4:00:00 PM",,,9,,5.3,
"7/3/2021, 5:00:00 PM",,,6,,5.4,
"7/3/2021, 6:00:00 PM",,,6,,5.3,
"7/3/2021, 7:00:00 PM",,,9,,5.1,
"7/3/2021, 8:00:00 PM",,,8,,5.1,
"7/3/2021, 9:00:00 PM",,,9,,5.2,
"7/3/2021, 10:00:00 PM",,,8,,4.9,
"7/3/2021, 11:00:00 PM",,,11,,4.4,
"7/4/2021, 12:00:00 AM",,,9,,4.3,
"7/4/2021, 1:00:00 AM",,,6,,4.1,
"7/4/2021, 2:00:00 AM",,,10,,3.6,
"7/4/2021, 3:00:00 AM",,,10,,3.5,
"7/4/2021, 4:00:00 AM",,,7,,3.5,
"7/4/2021, 5:00:00 AM",,,6,,3.5,
"7/4/2021, 6:00:00 AM",,,5,,3.6,
"7/4/2021, 7:00:00 AM",,,9,,4,
"7/4/2021, 8:00:00 AM",,,6,,4.1,
"7/4/2021, 9:00:00 AM",,,3,,4.5,
"7/4/2021, 10:00:00 AM",,,3,,4.7,
"7/4/2021, 11:00:00 AM",,,4,,4.6,
"7/4/2021, 12:00:00 PM",,,8,,4.3,
"7/4/2021, 1:00:00 PM",,,8,,4.3,
"7/4/2021, 2:00:00 PM",,,6,,4,
"7/4/2021, 3:00:00 PM",,,4,,3.6,
"7/4/2021, 4:00:00 PM",,,7,,3.5,
"7/4/2021, 5:00:00 PM",,,6,,3.7,
"7/4/2021, 6:00:00 PM",,,10,,3.2,
"7/4/2021, 7:00:00 PM",,,14,,2.9,
"7/4/2021, 8:00:00 PM",,,8,,2.9,
"7/4/2021, 9:00:00 PM",,,54,,3.3,
"7/4/2021, 10:00:00 PM",,,48,,3.2,
"7/4/2021, 11:00:00 PM",,,12,,3.1,
"7/5/2021, 12:00:00 AM",,,11,,2.8,
"7/5/2021, 1:00:00 AM",,,9,,2.8,
"7/5/2021, 2:00:00 AM",,,8,,2.7,
"7/5/2021, 3:00:00 AM",,,7,,2.5,
"7/5/2021, 4:00:00 AM",,,4,,2.6,
"7/5/2021, 5:00:00 AM",,,5,,2.5,
"7/5/2021, 6:00:00 AM",,,6,,2.4,
"7/5/2021, 7:00:00 AM",,,3,,2.4,
"7/5/2021, 8:00:00 AM",,,0,,2.2,
"7/5/2021, 9:00:00 AM",,,0,,2.3,
"7/5/2021, 10:00:00 AM",,,2,,2.5,
"7/5/2021, 11:00:00 AM",,,4,,2.5,
"7/5/2021, 12:00:00 PM",,,3,,2.6,
"7/5/2021, 1:00:00 PM",,,1,,2.7,
"7/5/2021, 2:00:00 PM",,,1,,2.7,
"7/5/2021, 3:00:00 PM",,,2,,3,
"7/5/2021, 4:00:00 PM",,,3,,3.1,
"7/5/2021, 5:00:00 PM",,,2,,3.4,
"7/5/2021, 6:00:00 PM",,,2,,3.9,
"7/5/2021, 7:00:00 PM",,,3,,4,
"7/5/2021, 8:00:00 PM",,,6,,4.2,
"7/5/2021, 9:00:00 PM",,,4,,4,
"7/5/2021, 10:00:00 PM",,,6,,3.6,
"7/5/2021, 11:00:00 PM",,,5,,3.1,
"7/6/2021, 12:00:00 AM",,,1,,2.9,
"7/6/2021, 1:00:00 AM",,,1,,2.5,
"7/6/2021, 2:00:00 AM",,,3,,2.5,
"7/6/2021, 3:00:00 AM",,,4,,3,
"7/6/2021, 4:00:00 AM",,,3,,3.2,
"7/6/2021, 5:00:00 AM",,,-1,,3.2,
"7/6/2021, 6:00:00 AM",,,1,,3.3,
"7/6/2021, 7:00:00 AM",,,2,,3.2,
"7/6/2021, 8:00:00 AM",,,5,,3.1,
"7/6/2021, 9:00:00 AM",,,5,,3.2,
"7/6/2021, 10:00:00 AM",,,3,,3.6,
"7/6/2021, 11:00:00 AM",,,4,,4.2,
"7/6/2021, 12:00:00 PM",,,5,,4.3,
"7/6/2021, 1:00:00 PM",,,4,,4.5,
"7/6/2021, 2:00:00 PM",,,2,,4.5,
"7/6/2021, 3:00:00 PM",,,4,,5.1,
"7/6/2021, 4:00:00 PM",,,6,,5.3,
"7/6/2021, 5:00:00 PM",,,7,,4.9,
"7/6/2021, 6:00:00 PM",,,5,,4.1,
"7/6/2021, 7:00:00 PM",,,5,,3.5,
"7/6/2021, 8:00:00 PM",,,5,,4.4,
"7/6/2021, 9:00:00 PM",,,8,,4.9,
"7/6/2021, 10:00:00 PM",,,11,,4.1,
"7/6/2021, 11:00:00 PM",,,7,,3.5,
"7/7/2021, 12:00:00 AM",,,5,,3,
"7/7/2021, 1:00:00 AM",,,5,,2.7,
"7/7/2021, 2:00:00 AM",,,4,,2.6,
"7/7/2021, 3:00:00 AM",,,6,,2.5,
"7/7/2021, 4:00:00 AM",,,3,,2.4,
"7/7/2021, 5:00:00 AM",,,-1,,2.4,
"7/7/2021, 6:00:00 AM",,,0,,2.3,
"7/7/2021, 7:00:00 AM",,,0,,2.3,
"7/7/2021, 8:00:00 AM",,,-3,,2.2,
"7/7/2021, 9:00:00 AM",,,-1,,2.3,
"7/7/2021, 10:00:00 AM",,,2,,2.5,
"7/7/2021, 11:00:00 AM",,,-1,,2.5,
"7/7/2021, 12:00:00 PM",,,0,,2.6,
"7/7/2021, 1:00:00 PM",,,1,,2.7,
"7/7/2021, 2:00:00 PM",,,-2,,2.7,
"7/7/2021, 3:00:00 PM",,,-1,,2.7,
"7/7/2021, 4:00:00 PM",,,2,,2.8,
"7/7/2021, 5:00:00 PM",,,2,,2.7,
"7/7/2021, 6:00:00 PM",,,1,,2.6,
"7/7/2021, 7:00:00 PM",,,-2,,2.7,
"7/7/2021, 8:00:00 PM",,,2,,2.7,
"7/7/2021, 9:00:00 PM",,,3,,2.7,
"7/7/2021, 10:00:00 PM",,,3,,2.8,
"7/7/2021, 11:00:00 PM",,,,,,
