,Tacoma-S 36th St,Tacoma-S 36th St,Tacoma-S 36th St,
Date/Time,PM2.5 [ug/m^3],Wind Direction [Deg],Wind Speed [MPH],
"7/1/2025, 12:00:00 AM",8.9,340,2.5,
"7/1/2025, 1:00:00 AM",8.1,295.2,2.3,
"7/1/2025, 2:00:00 AM",5.5,270.1,2,
"7/1/2025, 3:00:00 AM",6.5,236,1.7,
"7/1/2025, 4:00:00 AM",6.1,185.9,2.3,
"7/1/2025, 5:00:00 AM",9.6,257.1,3,
"7/1/2025, 6:00:00 AM",7.6,288.9,3.3,
"7/1/2025, 7:00:00 AM",5,310.6,3,
"7/1/2025, 8:00:00 AM",4.3,29.3,2.7,
"7/1/2025, 9:00:00 AM",3.2,56.2,3.2,
"7/1/2025, 10:00:00 AM",2.8,68.3,3.8,
"7/1/2025, 11:00:00 AM",3.1,339.2,4.6,
"7/1/2025, 12:00:00 PM",2.9,335,5.3,
"7/1/2025, 1:00:00 PM",7.2,7.9,6.6,
"7/1/2025, 2:00:00 PM",6.1,1.5,5.7,
"7/1/2025, 3:00:00 PM",2.4,18.4,6.1,
"7/1/2025, 4:00:00 PM",0.1,11.9,7.9,
"7/1/2025, 5:00:00 PM",0.6,5.4,7,
"7/1/2025, 6:00:00 PM",2.9,18.5,4.7,
"7/1/2025, 7:00:00 PM",3.2,337.4,3.5,
"7/1/2025, 8:00:00 PM",3.3,294.5,4.3,
"7/1/2025, 9:00:00 PM",4.8,283.1,5.5,
"7/1/2025, 10:00:00 PM",4.4,250.5,5.2,
"7/1/2025, 11:00:00 PM",1.9,241.5,7.1,
"7/2/2025, 12:00:00 AM",2.3,239.3,6.8,
"7/2/2025, 1:00:00 AM",5.3,244.6,6.9,
"7/2/2025, 2:00:00 AM",4.3,238.1,7.2,
"7/2/2025, 3:00:00 AM",2.5,232.8,5.5,
"7/2/2025, 4:00:00 AM",1.8,217.3,5.3,
"7/2/2025, 5:00:00 AM",7.1,210.1,6,
"7/2/2025, 6:00:00 AM",5.4,226.8,6.4,
"7/2/2025, 7:00:00 AM",4.2,230.1,5.9,
"7/2/2025, 8:00:00 AM",,226.7,5.7,
"7/2/2025, 9:00:00 AM",,216.4,5.9,
"7/2/2025, 10:00:00 AM",1.1,211.6,5.3,
"7/2/2025, 11:00:00 AM",1.6,223.2,4.1,
"7/2/2025, 12:00:00 PM",3.6,257.8,6.3,
"7/2/2025, 1:00:00 PM",4.5,252.3,8.9,
"7/2/2025, 2:00:00 PM",2.2,249.1,8.4,
"7/2/2025, 3:00:00 PM",3.1,257.5,9.5,
"7/2/2025, 4:00:00 PM",2.5,250.8,10,
"7/2/2025, 5:00:00 PM",0.8,266.1,10.8,
"7/2/2025, 6:00:00 PM",0.4,260.2,10.2,
"7/2/2025, 7:00:00 PM",-0.9,262.3,9.1,
"7/2/2025, 8:00:00 PM",-0.7,245,7.7,
"7/2/2025, 9:00:00 PM",0.9,219.2,7.2,
"7/2/2025, 10:00:00 PM",0.6,206.5,6.5,
"7/2/2025, 11:00:00 PM",1.3,192,6.5,
"7/3/2025, 12:00:00 AM",5.4,210.5,8,
"7/3/2025, 1:00:00 AM",4,219.4,6.9,
"7/3/2025, 2:00:00 AM",4.2,227.2,5.6,
"7/3/2025, 3:00:00 AM",3,232.6,5.5,
"7/3/2025, 4:00:00 AM",1.7,219.8,4.9,
"7/3/2025, 5:00:00 AM",2.8,202.3,4.5,
"7/3/2025, 6:00:00 AM",3.4,227.8,3.9,
"7/3/2025, 7:00:00 AM",3.3,222.2,4,
"7/3/2025, 8:00:00 AM",2.6,255,4.1,
"7/3/2025, 9:00:00 AM",4.1,227.8,4.2,
"7/3/2025, 10:00:00 AM",4.2,249,4.1,
"7/3/2025, 11:00:00 AM",1.9,275.8,4.2,
"7/3/2025, 12:00:00 PM",2.2,235.6,4.5,
"7/3/2025, 1:00:00 PM",2.9,282.9,4.5,
"7/3/2025, 2:00:00 PM",2.9,356.7,5.2,
"7/3/2025, 3:00:00 PM",2.4,0.9,7.3,
"7/3/2025, 4:00:00 PM",2.6,8.8,7.2,
"7/3/2025, 5:00:00 PM",5.6,4.2,7,
"7/3/2025, 6:00:00 PM",5,359.9,6.4,
"7/3/2025, 7:00:00 PM",4.7,3.6,6.1,
"7/3/2025, 8:00:00 PM",4.4,356.1,6.6,
"7/3/2025, 9:00:00 PM",3.6,354.2,5.4,
"7/3/2025, 10:00:00 PM",4.8,21.5,4.2,
"7/3/2025, 11:00:00 PM",2.8,8,4.2,
"7/4/2025, 12:00:00 AM",9,14.7,4.6,
"7/4/2025, 1:00:00 AM",5.4,15,6.4,
"7/4/2025, 2:00:00 AM",3.3,11.7,5.7,
"7/4/2025, 3:00:00 AM",3.6,6.9,3.6,
"7/4/2025, 4:00:00 AM",3.7,349,2.3,
"7/4/2025, 5:00:00 AM",4.2,344.6,1.9,
"7/4/2025, 6:00:00 AM",4.5,297.1,2.4,
"7/4/2025, 7:00:00 AM",3.2,313.9,3,
"7/4/2025, 8:00:00 AM",1.3,258.1,4.4,
"7/4/2025, 9:00:00 AM",1.9,282.1,4.1,
"7/4/2025, 10:00:00 AM",2.4,245.6,4.4,
"7/4/2025, 11:00:00 AM",3,274.7,5.2,
"7/4/2025, 12:00:00 PM",2.1,299,5,
"7/4/2025, 1:00:00 PM",2.5,313.9,4.9,
"7/4/2025, 2:00:00 PM",4,264.2,6.4,
"7/4/2025, 3:00:00 PM",5.3,269.2,7.4,
"7/4/2025, 4:00:00 PM",3.8,255.7,9,
"7/4/2025, 5:00:00 PM",2,249.2,9.5,
"7/4/2025, 6:00:00 PM",3.1,255.4,9.9,
"7/4/2025, 7:00:00 PM",3.3,253,8.9,
"7/4/2025, 8:00:00 PM",5.4,245.1,9.7,
"7/4/2025, 9:00:00 PM",15,249.3,8.9,
"7/4/2025, 10:00:00 PM",7.6,255,6.9,
"7/4/2025, 11:00:00 PM",8.6,275.7,4.1,
"7/5/2025, 12:00:00 AM",9.1,217.5,4.5,
"7/5/2025, 1:00:00 AM",8.3,189,5.5,
